"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
1.7,6,FALSE,8.4,3.9,"Lacazette",3.2,"a",1,3,27,264784,5233,369627,19717,0.2,3.2,"Lacazette",485,3,0,2,5,0,0,0,1,0,0,3,88,126.4,73.8,186,38.3,97,14,110,14,34,18,50,16
1,22,FALSE,5.6,1.9,"Nketiah",0.6,"a",1,3,15,32455,1573,119508,3607,0.2,2.7,"Nketiah",145,1,0,0,3,0,0,0,0,0,0,3,51,48,25.4,66,13.7,246,28,222,32,120,35,216,32
0,48,FALSE,6,0,"Moraes",0,"i",2,7,0,576,60,977,57,0,0,"Wesley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,75,598,76,598,76,598,76
0,49,FALSE,5.9,0,"Samatta",0,"u",2,7,0,1547,7,8033,79,0,0,"Samatta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,74,596,75,596,75,597,75
0,50,FALSE,4.3,1,"Davis",8.1,"a",2,7,1,459464,20377,942732,46204,0,0.2,"Davis",28,0,0,0,0,0,0,0,0,0,0,0,3,4.4,12.9,6,2.3,382,42,285,42,308,48,371,46
0,51,FALSE,4.4,0,"Vassilev",0.7,"n",2,7,0,43464,232,129002,3854,0,0,"Vassilev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,53,473,56,445,55,493,56
7.3,514,FALSE,6.1,6.7,"Watkins",8.1,"a",2,7,47,752218,248868,277657,20735,1.2,7.7,"Watkins",630,6,1,4,9,0,0,0,0,0,0,6,182,263.2,120.2,332,71.5,10,5,47,3,10,5,10,4
0,53,FALSE,4.8,0,"Murray",0.1,"n",3,36,0,4464,192,16491,393,0,0,"Murray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,60,527,62,507,62,540,62
0,64,FALSE,4.8,0,"Andone",0.1,"i",3,36,0,11373,173,27966,378,0,0,"Andone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,62,532,64,513,64,545,64
1.3,68,FALSE,6.4,5.4,"Maupay",4.2,"a",3,36,38,601659,7000,468958,61864,0.2,5.9,"Maupay",630,4,1,2,12,0,0,0,0,0,0,5,135,187.2,82.6,357,62.6,33,9,93,9,6,4,14,6
0.3,78,FALSE,5.4,3,"Connolly",0.5,"d",3,36,18,62407,887,73550,4960,0.1,3.3,"Connolly",288,1,1,1,7,0,0,0,0,0,0,2,49,56.4,34.3,69,15.9,227,24,189,26,116,31,191,28
0,574,FALSE,5,0,"Zeqiri",0,"a",3,36,0,2068,305,1388,340,0,0,"Zeqiri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,66,566,68,560,68,573,68
1,588,FALSE,5.5,1.5,"Welbeck",0.1,"a",3,36,3,4394,1920,1593,670,0.2,0.5,"Welbeck",101,0,0,1,0,0,0,0,0,0,0,0,10,7.4,33.1,69,11,372,40,194,27,117,32,247,33
1,86,FALSE,5.8,1,"Rodriguez",0.3,"a",4,90,5,8648,457,46715,868,0.2,0.9,"Rodriguez",153,0,0,0,5,0,0,0,1,0,0,0,16,12.2,24,23,6,355,36,232,35,228,41,317,41
2,87,FALSE,6,1.8,"Barnes",0.1,"a",4,90,9,7197,822,10909,977,0.3,1.5,"Barnes",381,0,0,2,7,0,0,0,1,0,0,0,5,20.2,78,117,21.4,328,34,103,11,56,23,137,23
2,91,FALSE,6.2,2.6,"Wood",1,"a",4,90,18,83324,1536,171189,6894,0.3,2.9,"Wood",623,1,0,2,12,0,0,0,0,0,0,0,29,49.6,24.9,191,25.9,241,26,226,34,30,17,96,20
0.7,93,FALSE,4.9,1.2,"Vydra",0.7,"a",4,90,6,64383,2097,75149,4178,0.1,1.2,"Vydra",130,0,0,0,2,0,0,0,0,0,0,0,18,9.6,27.4,67,10.4,363,38,209,31,119,34,257,34
0,591,FALSE,4.5,0,"Thompson",0,"a",4,90,0,1366,792,499,370,0,0,"Thompson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,59,515,61,491,60,529,61
0,592,FALSE,4.5,0,"Richardson",0,"a",4,90,0,1666,951,552,415,0,0,"Richardson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,58,514,60,490,59,528,60
