"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
0,2,FALSE,4.9,0,"Papastathopoulos",0.1,"n",1,3,0,10213,8,18302,214,0,0,"Sokratis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,209,546,209,534,203,557,209
0.3,3,FALSE,5.5,1.4,"Luiz Moreira Marinho",0.9,"a",1,3,7,34315,2885,68069,2953,0.1,1.3,"David Luiz",319,0,0,0,5,0,0,0,0,0,0,0,51,66.6,9.8,21,9.7,200,83,309,101,236,70,268,90
0,5,FALSE,4.7,0,"Soares",0.2,"a",1,3,0,2953,141,31404,650,0,0,"Cédric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,203,521,203,498,193,535,203
0.7,7,FALSE,5,1,"Mustafi",0,"a",1,3,2,10871,310,10720,200,0.1,0.4,"Mustafi",44,0,0,0,1,0,0,0,0,0,0,0,13,11.6,1,0,1.3,358,140,369,141,554,210,390,145
0,10,FALSE,4.4,0,"Marí",0,"d",1,3,0,292,21,718,38,0,0,"Marí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,185,453,184,423,172,474,185
4.7,11,FALSE,5.1,4.2,"Bellerín",8.2,"a",1,3,34,493311,41758,254841,27017,0.9,6.7,"Bellerín",720,0,3,2,10,0,0,0,3,0,0,6,152,126.6,91.4,49,26.8,96,34,80,21,161,38,93,21
0,13,FALSE,4.5,0,"Chambers",0,"d",1,3,0,364,28,925,45,0,0,"Chambers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,199,492,199,465,189,509,199
0,14,FALSE,4.8,2,"Kolasinac",0.2,"i",1,3,2,4712,141,16218,811,0,0.4,"Kolasinac",90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4,1.3,389,148,320,107,326,117,389,144
0.3,15,FALSE,4.8,2.2,"Maitland-Niles",1,"a",1,3,9,46583,625,118911,5070,0.1,1.9,"Maitland-Niles",187,0,0,1,3,0,0,0,0,0,0,0,35,20.2,4.3,7,3.2,326,133,329,115,302,102,357,128
2,16,FALSE,4.4,3,"Holding",1.3,"a",1,3,15,172587,4445,197179,3921,0.5,3.4,"Holding",450,0,0,2,7,0,0,0,1,0,0,0,100,96.8,3.6,4,10.4,153,62,333,117,322,115,256,88
3,17,FALSE,5.4,2.9,"Tierney",5.2,"a",1,3,20,117032,5417,530160,15242,0.6,3.7,"Tierney",620,0,0,2,9,0,0,0,0,0,0,0,121,111.6,97.8,31,24.1,123,48,67,17,200,57,114,29
0,27,FALSE,4.1,0,"Saliba",0.8,"a",1,3,0,23297,1843,194776,3848,0,0,"Saliba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,171,426,170,392,154,448,171
3.3,494,FALSE,5.1,4.4,"Magalhães",11.4,"a",1,3,31,879700,14743,515293,34130,0.6,6.1,"Gabriel",630,1,0,2,7,0,0,0,1,0,0,5,143,182.6,7,85,27.5,35,9,314,102,84,14,89,20
