"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
3,8,FALSE,5,3.7,"Leno",9.3,"a",1,3,26,371697,3670,326255,3857,0.6,5.2,"Leno",630,0,0,2,7,0,0,0,0,0,18,2,138,144,0,0,14.4,62,13,561,59,552,59,197,13
0,527,FALSE,4,0,"Macey",1.3,"a",1,3,0,97306,1502,38592,573,0,0,"Macey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,36,404,14,363,11,426,36
0,547,FALSE,4.5,0,"Rúnarsson",0,"a",1,3,0,1165,19,773,23,0,0,"Rúnarsson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,62,493,46,464,43,508,62
3,12,FALSE,4.8,5.7,"Martínez",26.5,"a",2,7,34,1708441,11003,346027,9878,0.6,7.1,"Martínez",540,0,0,3,9,0,1,0,0,0,20,4,144,177.8,0,0,17.7,36,6,529,52,509,51,164,6
0,28,FALSE,4.5,0,"Heaton",0,"i",2,7,0,976,20,2690,46,0,0,"Heaton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,58,478,38,448,35,497,58
0,32,FALSE,4,0,"Steer",5.5,"a",2,7,0,175858,1913,135994,1771,0,0,"Steer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,33,400,11,359,8,422,33
0,35,FALSE,4,0,"Nyland",8.9,"u",2,7,0,143719,34,555961,7263,0,0,"Nyland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,34,402,12,361,9,424,34
2.2,70,FALSE,4.5,2.4,"Ryan",14.1,"a",3,36,17,348798,2306,550332,4996,0.5,3.8,"Ryan",630,0,0,2,12,0,0,0,1,0,8,0,100,62,0.3,0,6.2,208,19,378,4,465,44,308,19
0,503,FALSE,4,0,"Walton",1.2,"d",3,36,0,17585,204,47804,462,0,0,"Walton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,35,403,13,362,10,425,35
0,528,FALSE,4,0,"Steele",0.8,"a",3,36,0,60431,481,19367,293,0,0,"Steele",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,31,398,9,357,6,420,31
0.5,597,FALSE,4.5,1,"Sánchez",0,"a",3,36,1,1240,37,276,97,0.1,0.2,"Sánchez",90,0,0,0,2,0,0,0,0,0,2,0,12,19,0,0,1.9,329,23,500,49,474,47,381,24
6.2,96,FALSE,5.4,4.1,"Pope",10.8,"a",4,90,29,143252,3505,491087,3599,1.1,5.4,"Pope",630,0,0,2,12,0,0,0,0,0,22,5,126,169.2,0,0,16.9,40,8,576,63,571,63,175,9
0,99,FALSE,4,0,"Peacock-Farrell",1.4,"a",4,90,0,36023,527,33260,362,0,0,"Peacock-Farrell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,40,413,18,375,15,435,40
0,583,FALSE,4,0,"Norris",0.1,"a",4,90,0,4729,213,1267,36,0,0,"Norris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,37,406,15,366,12,428,37
0,101,FALSE,4.8,1,"Caballero",0.2,"a",5,8,1,4608,18,16393,202,0,0.2,"Caballero",90,0,0,0,3,0,0,0,0,0,0,0,7,4.2,0,0,0.4,385,26,522,51,500,50,402,26
0.5,112,FALSE,4.8,2,"Arrizabalaga",0.8,"a",5,8,6,43086,55,152773,800,0.1,1.2,"Arrizabalaga",270,0,0,0,6,0,0,0,0,0,8,0,40,50.8,0,0,5,233,20,531,53,511,52,332,20
3.8,548,FALSE,5.1,5.2,"Mendy",6.2,"a",5,8,21,491148,18579,95834,6058,0.7,4.1,"Mendy",360,0,0,3,1,0,0,0,0,0,6,0,84,43.8,0,0,4.4,248,21,568,60,561,60,344,21
0,593,FALSE,4,0,"Ziger",0.1,"a",5,8,0,4531,1031,563,161,0,0,"Ziger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,41,418,19,381,16,440,41
0,126,FALSE,4.4,0,"Hennessey",0.5,"i",6,31,0,6013,10,32818,462,0,0,"Hennessey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,47,438,25,404,22,460,47
1.5,128,FALSE,5,2.6,"Guaita",4.1,"a",6,31,21,298340,1358,227086,3991,0.3,4.2,"Guaita",720,0,0,1,12,0,0,0,2,0,22,3,116,153.6,0,0,15.4,53,11,557,57,547,57,187,12
0,578,FALSE,4,0,"Henderson",0.3,"a",6,31,0,18091,790,2980,188,0,0,"Henderson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,30,397,8,356,5,419,30
0,586,FALSE,4.5,0,"Butland",0,"a",6,31,0,1733,121,600,49,0,0,"Butland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,61,490,44,461,41,506,61
0,151,FALSE,4.4,0,"Lössl",0.1,"a",7,11,0,1946,17,5986,74,0,0,"Lössl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,49,443,27,409,24,465,49
1.5,157,FALSE,4.9,2.6,"Pickford",7.2,"a",7,11,18,410938,1732,417573,9099,0.3,3.7,"Pickford",630,0,0,1,12,0,0,0,0,0,20,1,115,149.4,10,0,16,55,12,302,2,537,55,183,11
0,167,FALSE,4.4,0,"Virgínia",0.1,"a",7,11,0,754,7,2952,41,0,0,"Virgínia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,57,467,37,436,34,487,57
0.2,573,FALSE,4.5,1,"Olsen",0.1,"a",7,11,1,3435,124,1154,127,0,0.2,"Olsen",90,0,0,0,2,0,0,0,0,0,2,0,11,18.8,0,0,1.9,330,24,492,45,463,42,380,23
0,171,FALSE,4,0,"Agosto Ramírez",1.7,"a",8,54,0,29067,327,39981,463,0,0,"Fabri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,29,396,7,355,4,418,29
0,183,FALSE,4.4,0,"Bettinelli",0,"n",8,54,0,445,1,4239,23,0,0,"Bettinelli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,56,455,35,422,32,476,56
0,186,FALSE,4.4,1,"Rodák",0.4,"a",8,54,1,9355,69,21334,264,0,0.2,"Rodák",90,0,0,0,3,0,0,0,0,0,2,0,11,18.2,0,0,1.8,331,25,460,36,427,33,382,25
4,516,FALSE,4.5,3,"Areola",1.3,"a",8,54,21,56452,1101,70495,959,0.9,4.7,"Areola",630,0,0,1,12,0,0,0,0,0,29,0,129,215.8,0,0,21.4,19,2,486,42,457,39,124,3
5.5,217,FALSE,5.5,4.2,"Schmeichel",11.8,"a",9,13,34,229249,2614,379112,4895,1,6.2,"Schmeichel",720,0,0,3,9,0,0,0,0,0,22,3,147,173.6,0,0,17.4,38,7,580,64,576,64,170,7
0,223,FALSE,4.4,0,"Ward",0.2,"a",9,13,0,2033,29,6617,101,0,0,"Ward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,53,450,32,417,29,471,53
0,194,FALSE,4.3,0,"Casilla Cortés",1.1,"a",10,2,0,15513,280,100369,657,0,0,"Casilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,44,423,22,389,19,446,44
0,208,FALSE,4,0,"Miazek",1.5,"u",10,2,0,21835,17,69769,956,0,0,"Miazek",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,39,411,17,373,14,433,39
2.8,213,FALSE,4.5,3.2,"Meslier",4.1,"a",10,2,26,291806,1924,107506,5442,0.6,5.8,"Meslier",720,0,0,2,17,0,0,0,0,0,23,3,153,160.2,10,0,17.1,50,10,301,1,484,49,173,8
0,532,FALSE,4,0,"Caprile",0.3,"a",10,2,0,21790,290,6641,187,0,0,"Caprile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,43,421,21,385,18,444,43
0.5,245,FALSE,4.4,1,"San Miguel del Castillo",0.5,"a",11,14,2,42748,281,38404,669,0.1,0.5,"Adrián",180,0,0,0,9,0,0,0,0,0,7,0,28,42.2,0,0,4.2,258,22,444,28,410,25,346,22
1.5,252,FALSE,5.9,3.8,"Ramses Becker",7.3,"a",11,14,23,249404,2248,740034,3298,0.3,3.9,"Alisson",525,0,0,1,7,0,1,0,0,0,9,2,100,107.8,0,0,10.8,121,15,593,67,592,67,240,16
0,560,FALSE,4.5,0,"Kelleher",0,"a",11,14,0,433,17,334,20,0,0,"Kelleher",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,64,499,48,472,46,514,64
0,267,FALSE,4.5,0,"Bravo",0,"u",12,43,0,397,0,1434,17,0,0,"Bravo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,59,479,39,449,36,498,59
4.2,278,FALSE,6,3.3,"Santana de Moraes",5.8,"a",12,43,23,183350,1391,176962,3398,0.7,3.8,"Ederson",615,0,0,2,9,0,0,0,0,0,15,0,111,107.6,0,0,10.8,122,16,595,68,594,68,241,17
0,538,FALSE,4.5,0,"Steffen",0,"a",12,43,0,660,9,613,25,0,0,"Steffen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,63,494,47,466,45,509,63
0,595,FALSE,4,0,"Trafford",0,"a",12,43,0,1366,293,172,52,0,0,"Trafford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,42,419,20,382,17,441,42
0,289,FALSE,4.9,0,"Romero",0.1,"n",13,1,0,384,3,7022,53,0,0,"Romero",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,66,543,54,530,53,554,66
3.2,291,FALSE,5.4,2.1,"de Gea",3.8,"a",13,1,15,83197,1919,148898,2459,0.6,2.8,"de Gea",630,0,0,1,14,0,0,0,0,0,13,0,89,105.8,0,0,10.7,127,18,575,62,570,62,244,18
0,305,FALSE,5.3,0,"Henderson",1.6,"a",13,1,0,8926,34,109849,1239,0,0,"Henderson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,68,574,61,568,61,580,68
4,325,FALSE,5,4.4,"Darlow",1.9,"a",14,4,35,150699,3033,76444,2342,0.8,7,"Darlow",720,0,0,1,13,0,1,0,0,0,39,4,181,288.6,0,0,29,6,1,559,58,549,58,79,1
0,326,FALSE,4.9,0,"Dubravka",0.2,"i",14,4,0,1055,12,16513,141,0,0,"Dubravka",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,67,547,55,534,54,558,67
0,488,FALSE,4.4,0,"Gillespie",0.1,"a",14,4,0,1266,21,3366,59,0,0,"Gillespie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,51,447,30,413,27,468,51
0,348,FALSE,4.4,0,"Moore",0.1,"n",15,49,0,1398,1,9479,157,0,0,"Moore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,50,446,29,412,26,467,50
0,350,FALSE,4.4,0,"Foderingham",0.1,"a",15,49,0,1250,27,5122,67,0,0,"Foderingham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,52,448,31,414,28,469,52
2.8,483,FALSE,4.9,2.5,"Ramsdale",3.1,"a",15,49,20,55035,346,322986,3185,0.6,4.1,"Ramsdale",720,0,0,0,14,0,0,0,0,0,34,0,134,214.4,10,2,22.7,20,3,303,3,335,1,115,2
0,580,FALSE,4,0,"Verrips",0.2,"a",15,49,0,15117,527,2797,118,0,0,"Verrips",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,38,408,16,369,13,430,38
4,363,FALSE,4.5,4.1,"McCarthy",19.8,"a",16,20,33,558404,18535,646760,3830,0.9,7.3,"McCarthy",720,0,0,4,12,0,0,0,0,0,21,2,160,178,0,0,17.9,35,5,482,41,453,38,155,5
0,371,FALSE,4.4,0,"Gunn",0.2,"n",16,20,0,1689,4,13110,184,0,0,"Gunn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,55,453,34,420,31,474,55
0,523,FALSE,4,0,"Forster",3.4,"a",16,20,0,220891,3207,55123,1337,0,0,"Forster",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,28,395,6,354,3,417,28
4.5,383,FALSE,5.5,3.4,"Lloris",5.6,"a",17,6,27,209704,1077,205287,5041,0.8,4.9,"Lloris",720,0,0,2,9,0,0,0,0,0,17,2,126,107,0,0,10.8,124,17,581,65,578,65,238,15
0,393,FALSE,4.4,0,"Gazzaniga",0.3,"a",17,6,0,3144,54,12452,158,0,0,"Gazzaniga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,54,451,33,418,30,472,54
0,482,FALSE,4.4,0,"Hart",0.7,"a",17,6,0,7044,113,29292,367,0,0,"Hart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,45,436,23,402,20,458,45
0,56,FALSE,4,0,"Button",4.7,"a",18,35,0,109263,1418,105969,1347,0,0,"Button",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,32,399,10,358,7,421,32
4.5,417,FALSE,4.5,3.2,"Johnstone",1,"a",18,35,26,54825,760,41906,786,1,5.8,"Johnstone",720,0,0,1,17,0,0,0,0,0,32,4,152,194.6,0,0,19.5,25,4,489,43,460,40,143,4
0,429,FALSE,4,0,"Martin",7.4,"a",19,21,0,130936,2482,139042,1882,0,0,"Martin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,27,394,5,353,2,416,27
0,430,FALSE,4.4,0,"Randolph",0.2,"a",19,21,0,1474,29,6461,74,0,0,"Randolph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,48,439,26,405,23,461,48
6.5,431,TRUE,5,5.1,"Fabianski",1.9,"a",19,21,41,63683,9367,59060,960,1.3,8.2,"Fabianski",720,0,0,3,10,0,1,0,0,0,20,6,162,161.2,0,0,16.2,46,9,555,56,545,56,180,10
0,433,FALSE,4.5,0,"Jimenez Gago",0,"u",19,21,0,292,1,742,10,0,0,"Roberto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,60,480,40,451,37,499,60
0,453,FALSE,4.4,0,"Ruddy",0.3,"a",20,39,0,2592,54,9299,133,0,0,"Ruddy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,46,437,24,403,21,459,46
5.2,455,FALSE,5.5,4.6,"dos Santos Patrício",7.4,"a",20,39,37,280361,2144,212632,3384,0.9,6.7,"Patrício",720,0,0,4,9,0,1,0,0,0,20,0,171,133.6,0,0,13.2,72,14,582,66,579,66,210,14
0,472,FALSE,4.5,0,"Sarkic",0.1,"n",20,39,0,686,5,5130,93,0,0,"Sarkic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,65,501,50,475,48,515,65
