"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
0,1,FALSE,6.8,0,"Özil",0.6,"n",1,3,0,3312,8,50348,1195,0,0,"Özil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,238,600,238,600,238,600,238
4,4,FALSE,11.7,3.8,"Aubameyang",13,"a",1,3,30,432594,24453,2663039,88287,0.3,2.6,"Aubameyang",716,2,1,2,10,0,0,0,2,0,0,1,111,133.4,147.8,151,43.2,79,27,32,25,44,25,39,21
0.3,9,FALSE,5.3,1.7,"Xhaka",0.5,"a",1,3,10,21412,270,52173,2369,0.1,1.9,"Xhaka",407,0,0,1,6,0,0,0,1,0,0,0,47,51.8,33.8,29,11.4,236,95,190,119,208,107,243,111
0.7,18,FALSE,7.6,1.9,"Pépé",0.8,"a",1,3,13,21539,987,123609,3647,0.1,1.7,"Pépé",227,1,0,0,6,0,0,0,0,0,0,0,37,41.2,22.5,82,14.6,267,112,239,136,90,50,204,96
0,19,FALSE,4.7,0,"Torreira",0.1,"n",1,3,0,3269,8,16253,336,0,0,"Torreira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,208,524,209,503,199,538,208
0,20,FALSE,4.8,0,"Willock",0.1,"a",1,3,0,2535,249,6800,340,0,0,"Willock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,216,542,217,528,210,553,216
0,21,FALSE,5.2,0,"Nelson",0,"d",1,3,0,1017,14,4948,229,0,0,"Nelson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,228,574,229,568,225,580,228
0,23,FALSE,4.4,0,"Smith Rowe",0.2,"a",1,3,0,13471,1424,16433,1235,0,0,"Smith Rowe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,185,470,186,441,172,490,185
2,24,FALSE,5.3,3,"Saka",2.8,"a",1,3,18,106121,8911,428009,17944,0.4,3.4,"Saka",508,1,0,2,6,1,0,0,0,0,0,1,71,90.4,65.3,190,34.6,162,60,126,78,31,14,60,35
0,25,FALSE,4.7,0,"Guendouzi",0.1,"n",1,3,0,2600,10,12097,250,0,0,"Guendouzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,209,525,210,505,200,539,209
