"","aston-villa","405"
"1","tom-heaton",34130
"2","lovre-kalinic",46405
"3","jed-steer",110867
"4","orjan-nyland",73517
"5","tyrone-mings",253677
"6","bjorn-engels",193469
"7","ezri-konsa",413403
"8","kortney-hause",233124
"9","matt-targett",250478
"10","neil-taylor",67416
"11","frederic-guilbert",354352
"12","matty-cash",425334
"13","ahmed-elmohamady",66333
"14","douglas-luiz",447661
"15","marvelous-nakamba",324882
"16","john-mcginn",193116
"17","conor-hourihane",61653
"18","henri-lansbury",44794
"19","jack-grealish",203460
"20","trezeguet",234189
"21","anwar-el-ghazi",183720
"22","jota",176591
"23","wesley",381362
"24","ollie-watkins",324358
"25","mbwana-samatta",182201
"26","scott-hogan",138783
"27","keinan-davis",412660
