"","crystal-palace","873"
"1","vicente-guaita",64399
"2","wayne-hennessey",45494
"3","stephen-henderson",52191
"4","mamadou-sakho",47713
"5","james-tomkins",61592
"6","gary-cahill",27511
"7","jairo-riedewald",241481
"8","scott-dann",62688
"9","jaroslaw-jach",327755
"10","sam-woods",611650
"11","patrick-van-aanholt",52119
"12","tyrick-mitchell",730893
"13","nathan-ferguson",507254
"14","joel-ward",92572
"15","martin-kelly",78959
"16","luka-milivojevic",74300
"17","cheikhou-kouyate",66934
"18","james-mcarthur",41416
"19","james-mccarthy",45333
"20","jeffrey-schlupp",157506
"21","eberechi-eze",479999
"22","max-meyer",146164
"23","brandon-pierrick",703470
"24","wilfried-zaha",145988
"25","andros-townsend",61842
"26","michy-batshuayi",179184
"27","christian-benteke",50201
"28","jordan-ayew",108354
"29","connor-wickham",95435
