"","fc-arsenal","11"
"1","bernd-leno",72476
"2","emiliano-martinez",111873
"3","dejan-iliev",205757
"4","matt-macey",220491
"5","william-saliba",495666
"6","gabriel-magalhaes",435338
"7","shkodran-mustafi",88590
"8","calum-chambers",215118
"9","rob-holding",253341
"10","sokratis",34322
"11","david-luiz",46741
"12","pablo-mari",210178
"13","kieran-tierney",300716
"14","sead-kolasinac",94005
"15","hector-bellerin",191217
"16","ainsley-maitland-niles",285845
"17","cedric-soares",112988
"18","lucas-torreira",318077
"19","granit-xhaka",111455
"20","mohamed-elneny",160438
"21","dani-ceballos",319745
"22","matteo-guendouzi",465830
"23","joe-willock",340329
"24","mesut-ozil",35664
"25","bukayo-saka",433177
"26","gabriel-martinelli",655488
"27","nicolas-pepe",343052
"28","willian",52769
"29","reiss-nelson",340325
"30","pierre-emerick-aubameyang",58864
"31","alexandre-lacazette",93720
"32","eddie-nketiah",340324
