"","fc-burnley","1132"
"1","nick-pope",192080
"2","bailey-peacock-farrell",410436
"3","will-norris",285033
"4","lukas-jensen",581890
"5","james-tarkowski",173504
"6","ben-mee",74810
"7","kevin-long",111114
"8","jimmy-dunne",396174
"9","bobby-thomas",788283
"10","charlie-taylor",195633
"11","erik-pieters",43763
"12","matthew-lowton",102258
"13","phil-bardsley",15773
"14","jack-cork",40613
"15","ashley-westwood",91317
"16","josh-brownhill",293569
"17","mace-goodridge",382552
"18","robbie-brady",128229
"19","dwight-mcneil",584769
"20","johann-berg-gudmundsson",89231
"21","chris-wood",108725
"22","ashley-barnes",63200
"23","jay-rodriguez",53360
"24","matej-vydra",101500
