"","fc-chelsea","631"
"1","kepa",192279
"2","willy-caballero",19948
"3","antonio-rudiger",86202
"4","kurt-zouma",157509
"5","andreas-christensen",196948
"6","malang-sarr",344596
"7","fikayo-tomori",303254
"8","thiago-silva",29241
"9","matt-miazga",245893
"10","ben-chilwell",316125
"11","emerson",181778
"12","marcos-alonso",112515
"13","abdul-rahman-baba",224884
"14","cesar-azpilicueta",57500
"15","reece-james",472423
"16","davide-zappacosta",173859
"17","jorginho",102017
"18","tiemoue-bakayoko",182618
"19","ngolo-kante",225083
"20","mateo-kovacic",51471
"21","ruben-loftus-cheek",202886
"22","ross-barkley",131978
"23","billy-gilmour",423744
"24","danny-drinkwater",73491
"25","marco-van-ginkel",147034
"26","lewis-baker",198589
"27","victor-moses",59866
"28","kai-havertz",309400
"29","mason-mount",346483
"30","charly-musonda-jr-",177862
"31","christian-pulisic",315779
"32","callum-hudson-odoi",392768
"33","hakim-ziyech",217111
"34","timo-werner",170527
"35","tammy-abraham",331726
"36","olivier-giroud",82442
