"","fc-fulham","931"
"1","alphonse-areola",120629
"2","marek-rodak",186901
"3","fabri",45882
"4","george-wickens",502070
"5","michael-hector",157490
"6","maxime-le-marchand",60558
"7","tim-ream",145466
"8","joe-bryan",194460
"9","antonee-robinson",349701
"10","ola-aina",236490
"11","kenny-tete",206746
"12","denis-odoi",59641
"13","cyrus-christie",158623
"14","andre-zambo-anguissa",354361
"15","mario-lemina",170934
"16","harrison-reed",226973
"17","kevin-mcdonald",36529
"18","tom-cairney",123275
"19","jean-michael-seri",178614
"20","stefan-johansen",62008
"21","josh-onomah",243589
"22","ivan-cavaleiro",149716
"23","neeskens-kebano",111422
"24","sylvester-jasper",502074
"25","anthony-knockaert",149237
"26","aboubakar-kamara",290951
"27","bobby-reid",186186
"28","aleksandar-mitrovic",51152
"29","jay-stansfield",696346
