"","fc-liverpool","31"
"1","alisson",105470
"2","adrian",71271
"3","loris-karius",85864
"4","caoimhin-kelleher",340918
"5","virgil-van-dijk",139208
"6","joe-gomez",256178
"7","joel-matip",82105
"8","sepp-van-den-berg",541231
"9","andrew-robertson",234803
"10","konstantinos-tsimikas",338070
"11","trent-alexander-arnold",314353
"12","neco-williams",503680
"13","fabinho",225693
"14","georginio-wijnaldum",49499
"15","naby-keita",302215
"16","jordan-henderson",61651
"17","alex-oxlade-chamberlain",143424
"18","marko-grujic",222813
"19","james-milner",3333
"20","curtis-jones",433188
"21","ben-woodburn",344015
"22","sadio-mane",200512
"23","takumi-minamino",165793
"24","mohamed-salah",148455
"25","harry-wilson",279455
"26","xherdan-shaqiri",86792
"27","roberto-firmino",131789
"28","divock-origi",148368
"29","rhian-brewster",406560
"30","taiwo-awoniyi",295313
