"","fc-southampton","180"
"1","alex-mccarthy",95976
"2","fraser-forster",52570
"3","angus-gunn",201574
"4","harry-lewis",341043
"5","jan-bednarek",243028
"6","jannik-vestergaard",99331
"7","mohammed-salisu",563963
"8","wesley-hoedt",253765
"9","jack-stephens",163744
"10","ryan-bertrand",40611
"11","sam-mcqueen",226968
"12","jake-vokins",421424
"13","kyle-walker-peters",341051
"14","yan-valery",406008
"15","oriol-romeu",66100
"16","james-ward-prowse",181579
"17","will-smallbone",444211
"18","stuart-armstrong",130765
"19","jake-hesketh",315185
"20","nathan-redmond",129078
"21","moussa-djenepo",485424
"22","sofiane-boufal",232271
"23","josh-sims",286919
"24","nathan-tella",340322
"25","danny-ings",134294
"26","che-adams",346779
"27","guido-carrillo",184672
"28","michael-obafemi",444208
"29","shane-long",37304
