"","leeds-united","399"
"1","illan-meslier",542586
"2","kiko-casilla",27486
"3","elia-caprile",421873
"4","robin-koch",328784
"5","liam-cooper",75067
"6","pascal-struijk",410708
"7","oliver-casey",559800
"8","ezgjan-alioski",129604
"9","stuart-dallas",158764
"10","barry-douglas",91854
"11","leif-davis",596446
"12","luke-ayling",67420
"13","kalvin-phillips",351749
"14","ouasim-bouy",126412
"15","conor-shaughnessy",255626
"16","adam-forshaw",121257
"17","mateusz-klich",92738
"18","jamie-shackleton",534700
"19","mateusz-bogusz",431475
"20","robbie-gotts",534698
"21","alfie-mccalmont",471368
"22","pablo-hernandez",46220
"23","jack-harrison",417346
"24","helder-costa",173900
"25","ian-poveda",392763
"26","jordan-stevens",533913
"27","rodrigo",131505
"28","patrick-bamford",183334
"29","tyler-roberts",296986
"30","joe-gelhardt",503980
"31","jay-roy-grot",360517
