"","manchester-united","985"
"1","david-de-gea",59377
"2","dean-henderson",258919
"3","sergio-romero",30690
"4","lee-grant",13460
"5","harry-maguire",177907
"6","victor-lindelof",184573
"7","chris-smalling",103427
"8","eric-bailly",286384
"9","marcos-rojo",93176
"10","axel-tuanzebe",342046
"11","phil-jones",117996
"12","luke-shaw",183288
"13","brandon-williams",507700
"14","aaron-wan-bissaka",477758
"15","diogo-dalot",357147
"16","timothy-fosu-mensah",315131
"17","nemanja-matic",74683
"18","james-garner",505219
"19","paul-pogba",122153
"20","donny-van-de-beek",288255
"21","scott-mctominay",315969
"22","fred",191614
"23","bruno-fernandes",240306
"24","jesse-lingard",141660
"25","andreas-pereira",203394
"26","juan-mata",44068
"27","marcus-rashford",258923
"28","daniel-james",319301
"29","anthony-martial",182877
"30","mason-greenwood",532826
"31","odion-ighalo",62121
