"","newcastle-united","762"
"1","martin-dubravka",74960
"2","karl-darlow",99397
"3","mark-gillespie",142389
"4","jamaal-lascelles",183318
"5","fabian-schar",135343
"6","paul-dummett",170321
"7","federico-fernandez",85475
"8","ciaran-clark",98240
"9","jamal-lewis",346018
"10","matt-ritchie",92469
"11","achraf-lazaar",139173
"12","deandre-yedlin",255916
"13","emil-krafth",184528
"14","javier-manquillo",162029
"15","isaac-hayden",206225
"16","matthew-longstaff",484387
"17","sean-longstaff",346707
"18","jonjo-shelvey",71292
"19","jeff-hendrick",148262
"20","dan-barlaser",256773
"21","miguel-almiron",272999
"22","henri-saivet",51540
"23","allan-saint-maximin",272642
"24","ryan-fraser",146795
"25","christian-atsu",186997
"26","rolando-aarons",258188
"27","jacob-murphy",199527
"28","joelinton",333241
"29","callum-wilson",123682
"30","dwight-gayle",196522
"31","yoshinori-muto",230541
"32","andy-carroll",48066
