"","sheffield-united","350"
"1","aaron-ramsdale",427568
"2","michael-verrips",288259
"3","wes-foderingham",61697
"4","simon-moore",123536
"5","john-egan",121324
"6","jack-oconnell",212829
"7","ethan-ampadu",392771
"8","chris-basham",52495
"9","phil-jagielka",13520
"10","kean-bryan",214928
"11","kyron-gordon",746734
"12","enda-stevens",85706
"13","jack-robinson",128909
"14","max-lowe",258885
"15","george-baldock",146690
"16","jayden-bogle",465717
"17","sander-berge",333014
"18","jack-rodwell",57079
"19","regan-slater",473080
"20","oliver-norwood",73547
"21","john-fleck",54383
"22","john-lundstram",156941
"23","george-broadbent",804040
"24","zak-brunt",746777
"25","ben-osborn",218087
"26","oliver-burke",341317
"27","lys-mousset",291422
"28","oliver-mcburnie",298477
"29","david-mcgoldrick",35416
"30","billy-sharp",49542
"31","antwoine-hackford",670859
