"","west-bromwich-albion","984"
"1","sam-johnstone",110864
"2","david-button",61814
"3","jonathan-bond",130768
"4","semi-ajayi",251912
"5","ahmed-hegazy",111524
"6","kyle-bartley",67421
"7","cedric-kipre",364827
"8","dara-oshea",401320
"9","kieran-gibbs",44792
"10","conor-townsend",146509
"11","darnell-furlong",351755
"12","lee-peltier",38094
"13","jake-livermore",61832
"14","romaine-sawyers",113036
"15","rekeem-harper",456877
"16","sam-field",387331
"17","callum-robinson",183299
"18","grady-diangana",342048
"19","kamil-grosicki",37920
"20","kyle-edwards",314366
"21","matheus-pereira",225984
"22","matt-phillips",77274
"23","kenneth-zohore",135213
"24","charlie-austin",129627
"25","hal-robson-kanu",65976
