"","wolverhampton-wanderers","543"
"1","rui-patricio",45026
"2","john-ruddy",29712
"3","conor-coady",128901
"4","willy-boly",142310
"5","romain-saiss",204198
"6","ryan-bennett",67252
"7","roderick-miranda",87856
"8","max-kilman",525247
"9","jonny-otto",175446
"10","ruben-vinagre",357158
"11","marcal",137745
"12","luke-matheson",614084
"13","oskar-buur",293283
"14","ruben-neves",225161
"15","leander-dendoncker",168157
"16","joao-moutinho",29364
"17","vitinha",487469
"18","diogo-jota",340950
"19","daniel-podence",256977
"20","pedro-neto",487465
"21","adama-traore",204103
"22","raul-jimenez",206040
"23","fabio-silva",505653
"24","leo-bonatini",181781
"25","leonardo-campana",606872
